security_code,issuer_name,security_id,security_name,status,group,face_value,isin,sub_industry,market_cap(in cr)
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A,2,INE158A01026,2/3 Wheelers,115710.13
505141,Scooters India Ltd.,SCOOTER,SCOOTERS INDIA LTD.,Suspended,B,10,INE959E01011,2/3 Wheelers,338.78
505200,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A,1,INE066A01021,2/3 Wheelers,134970.73
522015,VCCL Ltd.,VCCLLTD,VCCL LTD.,Delisted,ZP,10,INE460E01010,2/3 Wheelers,2.02
531035,ERAAYA LIFESPACES LIMITED,ERAAYA,Eraaya Lifespaces Ltd,Active,XT,10,INE432F01024,2/3 Wheelers,1145.81
532343,TVS Motor Company Ltd.,TVSMOTOR,TVS MOTOR COMPANY LTD.,Active,A,1,INE494B01023,2/3 Wheelers,118885.8
532977,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A,10,INE917I01010,2/3 Wheelers,277588.43
538970,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,WARDINMOBI,Wardwizard Innovations & Mobility Ltd,Active,B,1,INE945P01024,2/3 Wheelers,1722.93
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A,10,INE640A01023,Abrasives & Bearings,34229.36
505412,Wendt (India) Ltd.,WENDT,WENDT (INDIA) LTD.,Active,B,10,INE274C01019,Abrasives & Bearings,3148
506076,Grindwell Norton Ltd.,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A,5,INE536A01023,Abrasives & Bearings,30137.43
513375,Carborundum Universal Ltd.,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,Active,A,1,INE120A01034,Abrasives & Bearings,33816.39
522113,Timken India Ltd,TIMKEN,TIMKEN INDIA LTD.,Active,A,10,INE325A01013,Abrasives & Bearings,34546.84
526073,Galaxy Bearings Ltd.,GALXBRG,GALAXY BEARINGS LTD.,Active,X,10,INE020S01012,Abrasives & Bearings,450.29
531371,Rushabh Precision Bearings Ltd.,RUPEBAR,RUSHABH PRECISION BEARINGS LTD.,Suspended,T,10,INE0I9K01010,Abrasives & Bearings,
535458,NRB INDUSTRIAL BEARINGS LIMITED,NIBL,NRB INDUSTRIAL BEARINGS LTD.,Active,B,2,INE047O01014,Abrasives & Bearings,83.62
509077,Pressman Advertising Limited,PRESSMN,Pressman Advertising Limited,Delisted,T,2,INE980A01023,Advertising & Media Agencies,628.75
526441,Vision Cinemas Limited,VISIONCINE,VISION CINEMAS LTD.,Active,X,1,INE515B01025,Advertising & Media Agencies,8.39
531259,Esha Media Research Limited,ESHAMEDIA,Esha Media Research Limited,Active,XT,10,INE328F01016,Advertising & Media Agencies,8.61
531337,WinPro Industries Limited,WINPRO,WinPro Industries Ltd,Active,Z,5,INE974C01022,Advertising & Media Agencies,21.99
531637,PRAVEG LIMITED,PRAVEG,Praveg Ltd,Active,B,10,INE722B01019,Advertising & Media Agencies,2073.25
539310,THINKINK PICTUREZ LIMITED,THINKINK,Thinkink Picturez Ltd,Active,XT,5,INE365S01037,Advertising & Media Agencies,73.66
541799,Sungold Media and Entertainment Limited,SMEL,Sungold Media and Entertainment Ltd,Active,MT,10,INE266S01011,Advertising & Media Agencies,23.1
542685,Digicontent Limited,DGCONTENT,Digicontent Ltd,Active,T,2,INE03JI01017,Advertising & Media Agencies,160.48
543341,SHARPLINE BROADCAST LIMITED,SHARPLINE,Sharpline Broadcast Ltd,Active,X,10,INE647W01014,Advertising & Media Agencies,10.74
543439,Brandbucket Media & Technology Limited,BRANDBUCKT,Brandbucket Media & Technology Ltd,Active,M,10,INE0ILD01014,Advertising & Media Agencies,23.08
543624,MAAGH ADVERTISING AND MARKETING SERVICES LIMITED,MAAGHADV,Maagh Advertising and Marketing Services Ltd,Active,M,1,INE0KY201021,Advertising & Media Agencies,246.16
